"City","OtherName","Country","Latitude","Longitude","Certainty","year","population"
"Ebla","","Syria","35.79839754","36.79872812",1,"BC_2250",30000
"Nippur","","Iraq","32.12693858","45.23078534",1,"BC_2250",30000
"Memphis","","Egypt","29.844722","31.250833",2,"BC_2000",60000
"Susa","","Iran","32.19085","48.246028",1,"BC_2000",25000
"Ur","","Iraq","30.962659","46.10321",1,"BC_2000",65000
"Mohenjodaro","Mohenjo-daro","Pakistan","27.32533494","68.13293014",1,"BC_1800",20000
"Susa","","Iran","32.19085","48.246028",1,"BC_1800",25000
"Avaris","near Pi-Rameses","Egypt","30.78629566","31.82221773",2,"BC_1600",100000
"Babylon","","Iraq","32.536389","44.420833",1,"BC_1600",60000
"Hazor","Tel Hazor","Israel","33.01745538","35.5685014",1,"BC_1600",24000
"Susa","","Iran","32.19085","48.246028",1,"BC_1600",25000
"Amarna","","Egypt","27.64528963","30.89624244",1,"BC_1360",30000
"Ao","Zhengzhou","China","34.766667","113.65",2,"BC_1360",32000
"Dur-Kurigalzu","","Iraq","33.35355825","44.20235367",1,"BC_1360",40000
"Hattusa","Hattusah, Khattushash, Bogazkale","Turkey","40.021111","34.609722",2,"BC_1360",45000
"Hazor","Tel Hazor","Israel","33.01745538","35.5685014",1,"BC_1360",24000
"Heliopolis","","Egypt","30.129528","31.288889",3,"BC_1360",30000
"Knossos","","Greece","35.2979516","25.16329744",1,"BC_1360",30000
"Memphis","","Egypt","29.844722","31.250833",2,"BC_1360",32000
"Mycenae","","Greece","37.73038721","22.75788116",1,"BC_1360",30000
"Thebes","Waset","Egypt","25.720556","32.610278",1,"BC_1360",80000
"Ugarit","","Syria","35.60228865","35.78656277",1,"BC_1360",24000
"Uruk","Erech","Iraq","31.322222","45.636111",2,"BC_1360",25000
"Anyang","","China","36.09944","114.32889",3,"BC_1200",30000
"Argos","Argolis","Greece","37.63333","22.73333",1,"BC_1200",24000
"Dur-Kurigalzu","","Iraq","33.35355825","44.20235367",1,"BC_1200",40000
"Hattusa","Hattusah, Khattushash, Bogazkale","Turkey","40.021111","34.609722",2,"BC_1200",48000
"Memphis","","Egypt","29.844722","31.250833",2,"BC_1200",50000
"Susa","","Iran","32.19085","48.246028",1,"BC_1200",30000
"Luoyang","Honan","China","34.669722","112.442222",2,"BC_1000",50000
"Pyongyang","P'yongyang, Tonggoo","Dem. People's Republic of Korea","39.03385","125.75432",1,"BC_1000",25000
"Susa","","Iran","32.19085","48.246028",1,"BC_1000",25000
"Jerusalem","","Israel","31.76904","35.21633",1,"BC_800",36000
"Luoyang","Honan","China","34.669722","112.442222",2,"BC_800",50000
"Nimrud","Calah","Iraq","36.09813154","43.32875612",1,"BC_800",50000
"Pyongyang","P'yongyang, Tonggoo","Dem. People's Republic of Korea","39.03385","125.75432",1,"BC_800",25000
"Samaria","Shomron, äomron ","Palestine","32.2761695611†","35.19040505",1,"BC_800",27000
"Susa","","Iran","32.19085","48.246028",1,"BC_800",27000
"Samarkand","Sumarqand","Uzbekistan","39.6576","66.947561",1,"BC_712",45000
"Babylon","","Iraq","32.536389","44.420833",1,"BC_650",60000
"Jerusalem","","Israel","31.76904","35.21633",1,"BC_650",45000
"Luoyang","Honan","China","34.669722","112.442222",2,"BC_650",70000
"Mareb","Marib","Yemen","15.40427477","45.355823",1,"BC_650",45000
"Miletus","","Turkey","37.530278","27.278333",2,"BC_650",50000
"Nimrud","Calah","Iraq","36.09813154","43.32875612",1,"BC_650",40000
"Nineveh","","Iraq","36.359444","43.152778",2,"BC_650",120000
"Pyongyang","P'yongyang, Tonggoo","Dem. People's Republic of Korea","39.03385","125.75432",1,"BC_650",30000
"Sais","Sa el-Hagar ","Egypt","30.96485438","30.76872699",1,"BC_650",48000
"Susa","","Iran","32.19085","48.246028",1,"BC_650",30000
"Agrigento","Agrigentum","Italy","37.29082765","13.58427204",1,"BC_430",40000
"Argos","Argolis","Greece","37.63333","22.73333",1,"BC_430",40000
"Athens","","Greece","37.97945","23.71622",1,"BC_430",155000
"Babylon","","Iraq","32.536389","44.420833",1,"BC_430",200000
"Carthage","","Tunisia","36.8581","10.3308",3,"BC_430",50000
"Changsha","","China","28.196111","112.972222",1,"BC_430",40000
"Corinth","","Greece","37.938636","22.932228",1,"BC_430",70000
"Crotone","Croton","Italy","39.08144536","17.12880422",2,"BC_430",35000
"Cyrene","near present-day Shahhat","Libya","32.81901498","21.85583296",3,"BC_430",35000
"Damascus","","Syria","33.5102","36.29128",1,"BC_430",30000
"Ecbatana","","Iran","34.8053317919†","48.51738769",1,"BC_430",90000
"Elis","Eleia","Greece","37.89189226","21.37348005",1,"BC_430",30000
"Gela","","Italy","37.08034","14.23068",1,"BC_430",35000
"Jerusalem","","Israel","31.76904","35.21633",1,"BC_430",49000
"Kerkira","Corfu, Corcyra,  KÈrkira","Greece","39.583333","19.866667",2,"BC_430",35000
"Lucheng","","China","36.316667","113.216667",3,"BC_430",50000
"Luoyang","Honan","China","34.669722","112.442222",2,"BC_430",100000
"Memphis","","Egypt","29.844722","31.250833",2,"BC_430",100000
"Messina","","Italy","38.19327","15.54969",1,"BC_430",38000
"Patna","","India","25.610533","85.14145",1,"BC_430",100000
"Perspolis","","Iran","29.93448748","52.89096558",1,"BC_430",50000
"Rome","","Italy","41.89474","12.4839",1,"BC_430",35000
"Sardis","Sardes","Turkey","38.48226723","28.04759086",1,"BC_430",35000
"Sidon","","Lebanon","33.55993","35.37564",1,"BC_430",36000
"Sparti","Sp·rti, Sparta","Greece","37.08182158","22.4234456",1,"BC_430",40000
